n,neutral_investor,value_investor,growth_investor,momentum_investor,speculative_trader,index_mimicker,thematic_investor,sentiment_driven_investor,non_financial_background_investor,low_risk_aversion_investor,high_risk_aversion_investor
50,0.6871514958093344,0.4258752587872491,0.5938005033546997,0.792902444673204,0.7232969593868148,0.7752752908617224,0.5856854811055442,0.4912335766466056,0.7214441608950063,0.7578184217048693,0.7225870717917414
60,0.6928508047911098,0.3502862887010843,0.5067507253725178,0.7470617191256542,0.6810179885311808,0.7478386616690987,0.49427001518689834,0.4640059240926995,0.7015218082702943,0.7145311301567693,0.6971201662221307
70,0.6879345510227012,0.31466824424550616,0.4765192166162329,0.7188030050328568,0.6561590773403948,0.7309190802465106,0.4535549040729189,0.4610242522110522,0.6945756544853735,0.6908906521294981,0.6760485611493621
80,0.6882601771824562,0.29789385873055074,0.4582328010665819,0.7042714826579664,0.6429962586231761,0.7161061483442483,0.4350456932049062,0.46826532024952977,0.6898221786320686,0.6765951836478251,0.6661120263996287
90,0.6893897619589205,0.2979694468692844,0.4539258742181684,0.7028747799971873,0.6359858040509361,0.7116512417989936,0.43029144209257436,0.47941278299181256,0.6921190018689386,0.6690613532357715,0.660701947331168
100,0.6912598851700594,0.2927570015678936,0.45394608449631896,0.7050591332588813,0.6292131644527161,0.7085864471504304,0.42963444245792753,0.48139824042056256,0.6967167544937017,0.6658372995710397,0.6596807529366182
